#      x          Cp  
     1.00000    0.09037
     0.99221    0.07761
     0.98052    0.05818
     0.96698    0.03923
     0.95276    0.02198
     0.93836    0.00654
     0.92391   -0.00740
     0.90944   -0.02014
     0.89497   -0.03193
     0.88049   -0.04295
     0.86601   -0.05333
     0.85153   -0.06320
     0.83704   -0.07264
     0.82256   -0.08171
     0.80807   -0.09049
     0.79358   -0.09901
     0.77908   -0.10732
     0.76459   -0.11545
     0.75010   -0.12344
     0.73560   -0.13130
     0.72110   -0.13907
     0.70661   -0.14675
     0.69211   -0.15436
     0.67762   -0.16192
     0.66312   -0.16942
     0.64863   -0.17688
     0.63413   -0.18431
     0.61964   -0.19168
     0.60515   -0.19901
     0.59066   -0.20628
     0.57617   -0.21347
     0.56169   -0.22056
     0.54721   -0.22755
     0.53273   -0.23443
     0.51825   -0.24125
     0.50378   -0.24821
     0.48931   -0.25589
     0.47485   -0.26571
     0.46039   -0.27976
     0.44594   -0.30009
     0.43149   -0.32535
     0.41705   -0.35040
     0.40262   -0.36378
     0.38819   -0.36957
     0.37378   -0.37711
     0.35937   -0.38575
     0.34497   -0.39523
     0.33059   -0.40541
     0.31621   -0.41625
     0.30185   -0.42772
     0.28751   -0.43981
     0.27318   -0.45255
     0.25888   -0.46597
     0.24459   -0.48012
     0.23033   -0.49505
     0.21609   -0.51087
     0.20189   -0.52768
     0.18773   -0.54563
     0.17361   -0.56490
     0.15955   -0.58574
     0.14554   -0.60845
     0.13162   -0.63346
     0.11779   -0.66132
     0.10409   -0.69280
     0.09056   -0.72894
     0.07727   -0.77120
     0.06433   -0.82153
     0.05198   -0.88231
     0.04062   -0.95548
     0.03079   -1.04051
     0.02290   -1.13301
     0.01687   -1.22675
     0.01231   -1.31619
     0.00882   -1.39543
     0.00612   -1.45431
     0.00401   -1.47365
     0.00238   -1.41674
     0.00119   -1.22764
     0.00041   -0.84660
     0.00004   -0.30963
     0.00004    0.23199
     0.00041    0.67383
     0.00119    0.92633
     0.00238    0.99961
     0.00401    0.96735
     0.00612    0.88377
     0.00882    0.78263
     0.01231    0.67396
     0.01687    0.56869
     0.02290    0.46653
     0.03079    0.37422
     0.04062    0.29431
     0.05198    0.22983
     0.06433    0.17912
     0.07727    0.13941
     0.09056    0.10790
     0.10409    0.08254
     0.11779    0.06185
     0.13162    0.04478
     0.14554    0.03057
     0.15955    0.01868
     0.17361    0.00869
     0.18773    0.00028
     0.20189   -0.00681
     0.21609   -0.01277
     0.23033   -0.01777
     0.24459   -0.02193
     0.25888   -0.02537
     0.27318   -0.02818
     0.28751   -0.03043
     0.30185   -0.03220
     0.31621   -0.03353
     0.33059   -0.03448
     0.34497   -0.03508
     0.35937   -0.03538
     0.37378   -0.03541
     0.38819   -0.03520
     0.40262   -0.03476
     0.41705   -0.03413
     0.43149   -0.03332
     0.44594   -0.03235
     0.46039   -0.03123
     0.47485   -0.02997
     0.48931   -0.02860
     0.50378   -0.02710
     0.51825   -0.02551
     0.53273   -0.02381
     0.54721   -0.02202
     0.56169   -0.02013
     0.57617   -0.01816
     0.59066   -0.01610
     0.60515   -0.01396
     0.61964   -0.01172
     0.63413   -0.00939
     0.64863   -0.00697
     0.66312   -0.00444
     0.67762   -0.00180
     0.69211    0.00096
     0.70661    0.00385
     0.72110    0.00689
     0.73560    0.01008
     0.75010    0.01346
     0.76459    0.01703
     0.77908    0.02083
     0.79358    0.02487
     0.80807    0.02918
     0.82256    0.03377
     0.83704    0.03867
     0.85153    0.04385
     0.86601    0.04930
     0.88049    0.05494
     0.89497    0.06064
     0.90944    0.06622
     0.92391    0.07146
     0.93836    0.07615
     0.95276    0.08023
     0.96698    0.08378
     0.98052    0.08679
     0.99221    0.08901
     1.00000    0.09037
