#      x          Cp  
     1.00000    0.07405
     0.99406    0.06465
     0.98207    0.04233
     0.96853    0.01960
     0.95469   -0.00405
     0.94082   -0.02360
     0.92694   -0.03890
     0.91305   -0.05507
     0.89917   -0.06880
     0.88528   -0.08296
     0.87140   -0.09657
     0.85752   -0.10938
     0.84364   -0.12266
     0.82976   -0.13427
     0.81588   -0.14654
     0.80200   -0.15825
     0.78812   -0.16931
     0.77424   -0.18150
     0.76035   -0.19173
     0.74647   -0.20323
     0.73258   -0.21325
     0.71869   -0.22466
     0.70479   -0.23477
     0.69090   -0.24485
     0.67701   -0.25548
     0.66311   -0.26525
     0.64922   -0.27457
     0.63533   -0.28403
     0.62143   -0.29320
     0.60754   -0.30224
     0.59365   -0.31306
     0.57975   -0.32633
     0.56586   -0.34722
     0.55198   -0.37721
     0.53809   -0.41449
     0.52420   -0.44652
     0.51031   -0.45230
     0.49643   -0.45952
     0.48255   -0.46765
     0.46866   -0.47642
     0.45479   -0.48568
     0.44091   -0.49545
     0.42704   -0.50565
     0.41318   -0.51628
     0.39931   -0.52740
     0.38545   -0.53900
     0.37161   -0.55096
     0.35776   -0.56348
     0.34392   -0.57640
     0.33010   -0.58985
     0.31628   -0.60378
     0.30247   -0.61828
     0.28868   -0.63350
     0.27490   -0.64935
     0.26114   -0.66593
     0.24739   -0.68336
     0.23367   -0.70166
     0.21997   -0.72089
     0.20630   -0.74097
     0.19266   -0.76211
     0.17906   -0.78423
     0.16552   -0.80749
     0.15203   -0.83152
     0.13861   -0.85656
     0.12528   -0.88175
     0.11205   -0.90690
     0.09896   -0.93306
     0.08602   -0.96090
     0.07330   -0.99162
     0.06085   -1.02445
     0.04878   -1.05710
     0.03728   -1.08213
     0.02672   -1.08765
     0.01780   -1.06123
     0.01120   -0.99481
     0.00681   -0.88954
     0.00399   -0.75705
     0.00214   -0.60349
     0.00093   -0.42475
     0.00023   -0.17981
     0.00000    0.21860
     0.00034    0.77678
     0.00137    0.99851
     0.00306    0.94260
     0.00549    0.81893
     0.00899    0.68945
     0.01425    0.55464
     0.02209    0.44061
     0.03242    0.35052
     0.04430    0.29092
     0.05693    0.24951
     0.06994    0.22159
     0.08315    0.20253
     0.09652    0.18941
     0.10998    0.17955
     0.12352    0.17171
     0.13711    0.16518
     0.15076    0.15980
     0.16444    0.15539
     0.17814    0.15205
     0.19188    0.14981
     0.20563    0.14815
     0.21941    0.14727
     0.23320    0.14698
     0.24700    0.14707
     0.26082    0.14773
     0.27465    0.14879
     0.28849    0.14992
     0.30235    0.15139
     0.31622    0.15291
     0.33011    0.15458
     0.34401    0.15613
     0.35792    0.15781
     0.37184    0.15951
     0.38578    0.16092
     0.39973    0.16264
     0.41368    0.16429
     0.42762    0.16574
     0.44155    0.16733
     0.45547    0.16903
     0.46938    0.17039
     0.48329    0.17162
     0.49718    0.17280
     0.51107    0.17396
     0.52496    0.17491
     0.53884    0.17574
     0.55271    0.17645
     0.56659    0.17713
     0.58046    0.17766
     0.59432    0.17793
     0.60818    0.17828
     0.62204    0.17829
     0.63589    0.17833
     0.64973    0.17811
     0.66358    0.17789
     0.67742    0.17740
     0.69126    0.17680
     0.70510    0.17615
     0.71895    0.17531
     0.73279    0.17447
     0.74664    0.17343
     0.76049    0.17239
     0.77434    0.17118
     0.78819    0.16977
     0.80204    0.16837
     0.81590    0.16668
     0.82977    0.16477
     0.84363    0.16275
     0.85750    0.16020
     0.87137    0.15753
     0.88524    0.15431
     0.89911    0.15062
     0.91298    0.14622
     0.92686    0.14106
     0.94073    0.13469
     0.95461    0.12715
     0.96846    0.11787
     0.98206    0.10534
     0.99406    0.08906
     1.00000    0.07405
