#      x          Cp  
     1.00000    0.09022
     0.99221    0.07744
     0.98052    0.05814
     0.96698    0.03931
     0.95276    0.02219
     0.93836    0.00689
     0.92391   -0.00692
     0.90944   -0.01952
     0.89497   -0.03116
     0.88049   -0.04202
     0.86601   -0.05224
     0.85153   -0.06192
     0.83704   -0.07116
     0.82256   -0.08002
     0.80807   -0.08855
     0.79358   -0.09681
     0.77908   -0.10483
     0.76459   -0.11263
     0.75010   -0.12025
     0.73560   -0.12771
     0.72110   -0.13500
     0.70661   -0.14215
     0.69211   -0.14917
     0.67762   -0.15604
     0.66312   -0.16278
     0.64863   -0.16940
     0.63413   -0.17590
     0.61964   -0.18234
     0.60515   -0.18887
     0.59066   -0.19578
     0.57617   -0.20376
     0.56169   -0.21382
     0.54721   -0.22706
     0.53273   -0.24395
     0.51825   -0.26526
     0.50378   -0.28858
     0.48931   -0.30971
     0.47485   -0.31665
     0.46039   -0.32233
     0.44594   -0.32907
     0.43149   -0.33656
     0.41705   -0.34463
     0.40262   -0.35322
     0.38819   -0.36230
     0.37378   -0.37183
     0.35937   -0.38182
     0.34497   -0.39228
     0.33059   -0.40320
     0.31621   -0.41461
     0.30185   -0.42654
     0.28751   -0.43900
     0.27318   -0.45205
     0.25888   -0.46572
     0.24459   -0.48007
     0.23033   -0.49519
     0.21609   -0.51117
     0.20189   -0.52812
     0.18773   -0.54619
     0.17361   -0.56558
     0.15955   -0.58653
     0.14554   -0.60935
     0.13162   -0.63446
     0.11779   -0.66244
     0.10409   -0.69404
     0.09056   -0.73031
     0.07727   -0.77270
     0.06433   -0.82315
     0.05198   -0.88403
     0.04062   -0.95724
     0.03079   -1.04219
     0.02290   -1.13442
     0.01687   -1.22770
     0.01231   -1.31646
     0.00882   -1.39482
     0.00612   -1.45263
     0.00401   -1.47075
     0.00238   -1.41272
     0.00119   -1.22281
     0.00041   -0.84196
     0.00004   -0.30661
     0.00004    0.23346
     0.00041    0.67403
     0.00119    0.92628
     0.00238    0.99959
     0.00401    0.96764
     0.00612    0.88418
     0.00882    0.78331
     0.01231    0.67464
     0.01687    0.56945
     0.02290    0.46726
     0.03079    0.37488
     0.04062    0.29492
     0.05198    0.23036
     0.06433    0.17960
     0.07727    0.13983
     0.09056    0.10828
     0.10409    0.08288
     0.11779    0.06216
     0.13162    0.04505
     0.14554    0.03082
     0.15955    0.01891
     0.17361    0.00889
     0.18773    0.00046
     0.20189   -0.00665
     0.21609   -0.01263
     0.23033   -0.01765
     0.24459   -0.02183
     0.25888   -0.02529
     0.27318   -0.02811
     0.28751   -0.03038
     0.30185   -0.03216
     0.31621   -0.03351
     0.33059   -0.03447
     0.34497   -0.03509
     0.35937   -0.03540
     0.37378   -0.03545
     0.38819   -0.03525
     0.40262   -0.03483
     0.41705   -0.03421
     0.43149   -0.03341
     0.44594   -0.03245
     0.46039   -0.03134
     0.47485   -0.03010
     0.48931   -0.02874
     0.50378   -0.02726
     0.51825   -0.02567
     0.53273   -0.02399
     0.54721   -0.02221
     0.56169   -0.02034
     0.57617   -0.01838
     0.59066   -0.01633
     0.60515   -0.01420
     0.61964   -0.01198
     0.63413   -0.00966
     0.64863   -0.00726
     0.66312   -0.00475
     0.67762   -0.00213
     0.69211    0.00061
     0.70661    0.00347
     0.72110    0.00647
     0.73560    0.00963
     0.75010    0.01296
     0.76459    0.01647
     0.77908    0.02019
     0.79358    0.02415
     0.80807    0.02834
     0.82256    0.03280
     0.83704    0.03754
     0.85153    0.04254
     0.86601    0.04779
     0.88049    0.05324
     0.89497    0.05880
     0.90944    0.06432
     0.92391    0.06964
     0.93836    0.07457
     0.95276    0.07897
     0.96698    0.08279
     0.98052    0.08607
     0.99221    0.08864
     1.00000    0.09022
