#      x          Cp  
     0.78748    0.01751
     0.79515    0.01950
     0.80282    0.02156
     0.81050    0.02370
     0.81817    0.02593
     0.82584    0.02825
     0.83351    0.03067
     0.84119    0.03320
     0.84886    0.03586
     0.85653    0.03865
     0.86419    0.04159
     0.87186    0.04471
     0.87953    0.04801
     0.88720    0.05152
     0.89486    0.05528
     0.90253    0.05932
     0.91019    0.06368
     0.91785    0.06841
     0.92551    0.07359
     0.93317    0.07931
     0.94081    0.08568
     0.94845    0.09286
     0.95605    0.10109
     0.96358    0.11069
     0.97099    0.12211
     0.97815    0.13605
     0.98488    0.15353
     0.99094    0.17731
     0.99616    0.20764
     1.00000    0.31849
