#      x          Cp  
     1.00000    0.41234
     0.99168    0.23266
     0.98037    0.17967
     0.96727    0.13533
     0.95272    0.10067
     0.93720    0.07143
     0.92112    0.04626
     0.90474    0.02410
     0.88821    0.00424
     0.87160   -0.01386
     0.85494   -0.03059
     0.83827   -0.04624
     0.82158   -0.06102
     0.80488   -0.07512
     0.78817   -0.08866
     0.77146   -0.10176
     0.75475   -0.11452
     0.73803   -0.12699
     0.72132   -0.13926
     0.70460   -0.15137
     0.68789   -0.16337
     0.67118   -0.17531
     0.65447   -0.18721
     0.63777   -0.19912
     0.62108   -0.21105
     0.60440   -0.22304
     0.58772   -0.23511
     0.57106   -0.24728
     0.55441   -0.25957
     0.53778   -0.27198
     0.52116   -0.28455
     0.50456   -0.29728
     0.48798   -0.31018
     0.47143   -0.32327
     0.45489   -0.33655
     0.43839   -0.35003
     0.42191   -0.36372
     0.40546   -0.37763
     0.38905   -0.39177
     0.37268   -0.40613
     0.35635   -0.42072
     0.34007   -0.43556
     0.32383   -0.45063
     0.30766   -0.46595
     0.29154   -0.48152
     0.27550   -0.49735
     0.25953   -0.51344
     0.24366   -0.52980
     0.22788   -0.54643
     0.21222   -0.56335
     0.19670   -0.58056
     0.18135   -0.59807
     0.16619   -0.61589
     0.15127   -0.63401
     0.13666   -0.65241
     0.12246   -0.67103
     0.10877   -0.68972
     0.09575   -0.70828
     0.08358   -0.72633
     0.07242   -0.74342
     0.06239   -0.75898
     0.05354   -0.77240
     0.04581   -0.78312
     0.03910   -0.79052
     0.03329   -0.79401
     0.02826   -0.79278
     0.02387   -0.78584
     0.02003   -0.77193
     0.01666   -0.74931
     0.01369   -0.71576
     0.01108   -0.66841
     0.00879   -0.60374
     0.00678   -0.51762
     0.00505   -0.40574
     0.00358   -0.26459
     0.00236   -0.09334
     0.00140    0.10370
     0.00070    0.31475
     0.00024    0.52145
     0.00003    0.70262
     0.00003    0.84345
     0.00024    0.94267
     0.00070    0.99339
     0.00140    0.99500
     0.00236    0.95567
     0.00358    0.88780
     0.00505    0.80362
     0.00678    0.71267
     0.00879    0.62129
     0.01108    0.53320
     0.01369    0.45027
     0.01666    0.37323
     0.02003    0.30216
     0.02387    0.23682
     0.02826    0.17680
     0.03329    0.12173
     0.03910    0.07129
     0.04581    0.02525
     0.05354   -0.01643
     0.06239   -0.05372
     0.07242   -0.08649
     0.08358   -0.11468
     0.09575   -0.13836
     0.10877   -0.15781
     0.12246   -0.17345
     0.13666   -0.18576
     0.15127   -0.19522
     0.16619   -0.20227
     0.18135   -0.20728
     0.19670   -0.21058
     0.21222   -0.21242
     0.22788   -0.21303
     0.24366   -0.21258
     0.25953   -0.21123
     0.27550   -0.20910
     0.29154   -0.20632
     0.30766   -0.20296
     0.32383   -0.19912
     0.34007   -0.19485
     0.35635   -0.19022
     0.37268   -0.18528
     0.38905   -0.18008
     0.40546   -0.17465
     0.42191   -0.16903
     0.43839   -0.16324
     0.45489   -0.15731
     0.47143   -0.15126
     0.48798   -0.14511
     0.50456   -0.13887
     0.52116   -0.13255
     0.53778   -0.12616
     0.55441   -0.11970
     0.57106   -0.11317
     0.58772   -0.10658
     0.60440   -0.09992
     0.62108   -0.09319
     0.63777   -0.08637
     0.65447   -0.07945
     0.67118   -0.07241
     0.68789   -0.06525
     0.70460   -0.05792
     0.72132   -0.05040
     0.73803   -0.04266
     0.75475   -0.03465
     0.77146   -0.02632
     0.78817   -0.01760
     0.80488   -0.00843
     0.82158    0.00131
     0.83827    0.01172
     0.85494    0.02296
     0.87160    0.03523
     0.88821    0.04881
     0.90474    0.06405
     0.92112    0.08145
     0.93720    0.10173
     0.95272    0.12589
     0.96727    0.15537
     0.98037    0.19422
     0.99168    0.24213
     1.00000    0.41234
