#      x          Cp  
     1.00000    0.25109
     0.99190    0.12081
     0.97930    0.08529
     0.96577    0.05995
     0.95212    0.04169
     0.93846    0.02701
     0.92480    0.01458
     0.91114    0.00370
     0.89747   -0.00606
     0.88381   -0.01496
     0.87014   -0.02321
     0.85647   -0.03092
     0.84280   -0.03820
     0.82913   -0.04514
     0.81545   -0.05178
     0.80178   -0.05817
     0.78811   -0.06437
     0.77443   -0.07040
     0.76076   -0.07630
     0.74708   -0.08208
     0.73341   -0.08777
     0.71973   -0.09338
     0.70605   -0.09894
     0.69238   -0.10446
     0.67870   -0.10995
     0.66502   -0.11542
     0.65134   -0.12088
     0.63767   -0.12635
     0.62399   -0.13184
     0.61032   -0.13734
     0.59664   -0.14288
     0.58296   -0.14845
     0.56929   -0.15407
     0.55562   -0.15974
     0.54194   -0.16547
     0.52827   -0.17126
     0.51460   -0.17712
     0.50093   -0.18306
     0.48726   -0.18908
     0.47360   -0.19520
     0.45993   -0.20140
     0.44627   -0.20771
     0.43261   -0.21413
     0.41895   -0.22067
     0.40530   -0.22733
     0.39164   -0.23412
     0.37799   -0.24106
     0.36435   -0.24815
     0.35070   -0.25540
     0.33706   -0.26283
     0.32343   -0.27045
     0.30980   -0.27828
     0.29617   -0.28633
     0.28256   -0.29464
     0.26894   -0.30322
     0.25534   -0.31211
     0.24175   -0.32135
     0.22816   -0.33098
     0.21459   -0.34106
     0.20103   -0.35166
     0.18748   -0.36286
     0.17395   -0.37479
     0.16044   -0.38757
     0.14696   -0.40140
     0.13351   -0.41652
     0.12010   -0.43326
     0.10674   -0.45210
     0.09344   -0.47369
     0.08023   -0.49902
     0.06715   -0.52962
     0.05426   -0.56793
     0.04170   -0.61803
     0.02978   -0.68659
     0.01941   -0.78071
     0.01182   -0.89427
     0.00699   -1.00482
     0.00393   -1.08596
     0.00193   -1.08310
     0.00067   -0.85306
     0.00007   -0.18748
     0.00007    0.58856
     0.00067    0.97721
     0.00193    0.95493
     0.00393    0.79656
     0.00699    0.62083
     0.01182    0.45788
     0.01941    0.32067
     0.02978    0.22106
     0.04170    0.15482
     0.05426    0.10965
     0.06715    0.07722
     0.08023    0.05291
     0.09344    0.03408
     0.10674    0.01915
     0.12010    0.00710
     0.13351   -0.00273
     0.14696   -0.01084
     0.16044   -0.01755
     0.17395   -0.02312
     0.18748   -0.02775
     0.20103   -0.03159
     0.21459   -0.03475
     0.22816   -0.03733
     0.24175   -0.03941
     0.25534   -0.04106
     0.26894   -0.04233
     0.28256   -0.04327
     0.29617   -0.04391
     0.30980   -0.04429
     0.32343   -0.04444
     0.33706   -0.04439
     0.35070   -0.04415
     0.36435   -0.04375
     0.37799   -0.04320
     0.39164   -0.04252
     0.40530   -0.04172
     0.41895   -0.04082
     0.43261   -0.03982
     0.44627   -0.03873
     0.45993   -0.03756
     0.47360   -0.03632
     0.48726   -0.03502
     0.50093   -0.03366
     0.51460   -0.03224
     0.52827   -0.03076
     0.54194   -0.02924
     0.55562   -0.02768
     0.56929   -0.02606
     0.58296   -0.02441
     0.59664   -0.02271
     0.61032   -0.02096
     0.62399   -0.01918
     0.63767   -0.01734
     0.65134   -0.01546
     0.66502   -0.01352
     0.67870   -0.01153
     0.69238   -0.00947
     0.70605   -0.00735
     0.71973   -0.00515
     0.73341   -0.00286
     0.74708   -0.00048
     0.76076    0.00201
     0.77443    0.00462
     0.78811    0.00737
     0.80178    0.01029
     0.81545    0.01339
     0.82913    0.01671
     0.84280    0.02030
     0.85647    0.02419
     0.87014    0.02845
     0.88381    0.03316
     0.89747    0.03844
     0.91114    0.04444
     0.92480    0.05139
     0.93846    0.05966
     0.95212    0.06986
     0.96577    0.08317
     0.97930    0.10266
     0.99190    0.13189
     1.00000    0.25109
