NACA 0008
    1.000000       0.000000    
   0.9973730      0.1184395E-02
   0.9941252      0.1358234E-02
   0.9904663      0.1727153E-02
   0.9861842      0.2125459E-02
   0.9810867      0.2586541E-02
   0.9751606      0.3129100E-02
   0.9685110      0.3729072E-02
   0.9613710      0.4369261E-02
   0.9539389      0.5029467E-02
   0.9463553      0.5697228E-02
   0.9386958      0.6365560E-02
   0.9309997      0.7031026E-02
   0.9232858      0.7692005E-02
   0.9155630      0.8347780E-02
   0.9078355      0.8998050E-02
   0.9001053      0.9642708E-02
   0.8923734      0.1028174E-01
   0.8846402      0.1091515E-01
   0.8769059      0.1154300E-01
   0.8691708      0.1216530E-01
   0.8614348      0.1278211E-01
   0.8536980      0.1339347E-01
   0.8459606      0.1399940E-01
   0.8382224      0.1459995E-01
   0.8304837      0.1519513E-01
   0.8227443      0.1578498E-01
   0.8150043      0.1636951E-01
   0.8072639      0.1694873E-01
   0.7995229      0.1752267E-01
   0.7917815      0.1809132E-01
   0.7840397      0.1865469E-01
   0.7762975      0.1921278E-01
   0.7685550      0.1976559E-01
   0.7608122      0.2031309E-01
   0.7530691      0.2085528E-01
   0.7453257      0.2139214E-01
   0.7375822      0.2192365E-01
   0.7298386      0.2244977E-01
   0.7220948      0.2297048E-01
   0.7143509      0.2348574E-01
   0.7066070      0.2399550E-01
   0.6988631      0.2449972E-01
   0.6911192      0.2499835E-01
   0.6833754      0.2549133E-01
   0.6756317      0.2597861E-01
   0.6678882      0.2646011E-01
   0.6601448      0.2693576E-01
   0.6524016      0.2740549E-01
   0.6446588      0.2786922E-01
   0.6369162      0.2832686E-01
   0.6291740      0.2877833E-01
   0.6214321      0.2922351E-01
   0.6136907      0.2966232E-01
   0.6059498      0.3009464E-01
   0.5982093      0.3052036E-01
   0.5904695      0.3093936E-01
   0.5827302      0.3135152E-01
   0.5749916      0.3175670E-01
   0.5672536      0.3215478E-01
   0.5595164      0.3254560E-01
   0.5517800      0.3292902E-01
   0.5440444      0.3330489E-01
   0.5363098      0.3367304E-01
   0.5285760      0.3403330E-01
   0.5208433      0.3438551E-01
   0.5131116      0.3472947E-01
   0.5053810      0.3506500E-01
   0.4976515      0.3539191E-01
   0.4899233      0.3570998E-01
   0.4821964      0.3601902E-01
   0.4744708      0.3631879E-01
   0.4667467      0.3660908E-01
